,Event,Category,Date,Team,Swimmer,Time
126, Event 18  Men 200 Yard Breaststroke,Meet,2023-03-25,ASU,Leon Marchand,1900-01-01 00:01:46.910
127, Event 18  Men 200 Yard Breaststroke,American,2017-03-25,Texas,Will Licon,1900-01-01 00:01:47.910
128, Event 18  Men 200 Yard Breaststroke,U. S. Open,2023-03-25,ASU,Leon Marchand,1900-01-01 00:01:46.910
129, Event 18  Men 200 Yard Breaststroke,Pool,2023-03-25,ASU,Leon Marchand,1900-01-01 00:01:46.910
135, Event 19  Men 200 Yard Butterfly,NCAA,2017-03-25,Texas,Jack Conger,1900-01-01 00:01:37.350
136, Event 19  Men 200 Yard Butterfly,Meet,2017-03-25,Texas,Jack Conger,1900-01-01 00:01:37.350
137, Event 19  Men 200 Yard Butterfly,American,2017-03-25,Texas,Jack Conger,1900-01-01 00:01:37.350
138, Event 19  Men 200 Yard Butterfly,U. S. Open,2017-03-25,Texas,Jack Conger,1900-01-01 00:01:37.350
139, Event 19  Men 200 Yard Butterfly,Pool,2018-03-24,P3/24/2018,Andrea Vazaios,1900-01-01 00:01:38.600
145, Event 21  Men 400 Yard Freestyle Relay,NCAA,2023-03-25,Florida,"J Liendo, A Chaney, J Smith, M McDuff",1900-01-01 00:02:44.070
146, Event 21  Men 400 Yard Freestyle Relay,Meet,2023-03-25,Florida,"J Liendo, A Chaney, J Smith, M McDuff",1900-01-01 00:02:44.070
147, Event 21  Men 400 Yard Freestyle Relay,American,2018-03-24,NC,"R Held, J Ress, J Molacek, C Stewart",1900-01-01 00:02:44.310
148, Event 21  Men 400 Yard Freestyle Relay,U. S. Open,2023-03-25,Florida,"J Liendo, A Chaney, J Smith, M McDuff",1900-01-01 00:02:44.070
149, Event 21  Men 400 Yard Freestyle Relay,Pool,2023-03-25,Florida,"J Liendo, A Chaney, J Smith, M McDuff",1900-01-01 00:02:44.070
